rateCode,price,Location,Instance Family,vCPU,Instance Type,Memory,Storage,Network Performance,plc:OperatingSystem,plc:InstanceFamily,Operating System,Pre Installed S/W,License Model
CQ6CGBNXV5H6P8YN.JRTCKXETXF.6YS6EN2CT7,0.0579600000,US East (Ohio),General purpose,1,m7a.medium,4 GiB,EBS only,Up to 12500 Megabit,Linux,General Purpose,Linux,NA,No License required
F8QJKFPYN8FAT8TV.JRTCKXETXF.6YS6EN2CT7,27.3000000000,US East (Ohio),Memory optimized,224,u-3tb1.56xlarge,3072 GiB,EBS only,50 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
CU66VZTZ2K54R4BC.JRTCKXETXF.6YS6EN2CT7,1.1920000000,US East (Ohio),Memory optimized,16,r5n.4xlarge,128 GiB,EBS only,Up to 25 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
CU86M25SPWQA8CJ7.JRTCKXETXF.6YS6EN2CT7,0.1728000000,US East (Ohio),Compute optimized,4,c6gn.xlarge,8 GiB,EBS only,Up to 25 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
FVPEHP5AV64WVXR4.JRTCKXETXF.6YS6EN2CT7,0.1670000000,US East (Ohio),Memory optimized,2,x2gd.large,32 GiB,1 x 118 SSD,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
D3823PQ23NZEKN76.JRTCKXETXF.6YS6EN2CT7,0.5443000000,US East (Ohio),Memory optimized,8,r7gd.2xlarge,64 GiB,1 x 475 NVMe SSD,Up to 15 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
D3NYAKZE5EV25YTB.JRTCKXETXF.6YS6EN2CT7,0.1743300000,US East (Ohio),Memory optimized,2,r6in.large,16 GiB,EBS only,Up to 25000 Megabit,Linux,Memory Optimized,Linux,NA,No License required
FXK4M8EXPVVPBJXP.JRTCKXETXF.6YS6EN2CT7,0.1720000000,US East (Ohio),Compute optimized,4,c5ad.xlarge,8 GiB,1 x 150 NVMe SSD,Up to 10 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
CVPBWYG2JMGPVSB3.JRTCKXETXF.6YS6EN2CT7,2.4192000000,US East (Ohio),Compute optimized,48,c6id.12xlarge,96 GiB,2 x 1425 NVMe SSD,18750 Megabit,Linux,Compute Optimized,Linux,NA,No License required
D25GXWFH8WX2KCCZ.JRTCKXETXF.6YS6EN2CT7,0.0860000000,US East (Ohio),Compute optimized,2,c5ad.large,4 GiB,1 x 75 NVMe SSD,Up to 10 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
AR62A6B34D8X27AA.JRTCKXETXF.6YS6EN2CT7,3.2256000000,US East (Ohio),General purpose,64,m7i.16xlarge,256 GiB,EBS only,25000 Megabit,Linux,General Purpose,Linux,NA,No License required
D947XV3XRFYF58QP.JRTCKXETXF.6YS6EN2CT7,2.7648000000,US East (Ohio),Compute optimized,64,c6gn.16xlarge,128 GiB,EBS only,100 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
CWBK779A7QPAG983.JRTCKXETXF.6YS6EN2CT7,0.1440000000,US East (Ohio),Memory optimized,2,r5d.large,16 GiB,1 x 75 NVMe SSD,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
DCEDSU592GQNCDE3.JRTCKXETXF.6YS6EN2CT7,1.7340000000,US East (Ohio),GPU instance,32,g4ad.8xlarge,128 GiB,1200 GB NVMe SSD,15 Gigabit,Linux,Accelerated Computing,Linux,NA,No License required
APH34XD7FXQ9GYQG.JRTCKXETXF.6YS6EN2CT7,0.2496000000,US East (Ohio),Compute optimized,4,c7gn.xlarge,8 GiB,EBS only,Up to 40 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
FT7C937ETECEQ7CV.JRTCKXETXF.6YS6EN2CT7,1.2096000000,US East (Ohio),Memory optimized,16,r6id.4xlarge,128 GiB,1 x 950 NVMe SSD,Up to 12500 Megabit,Linux,Memory Optimized,Linux,NA,No License required
DGWBCFWWRGXENFMK.JRTCKXETXF.6YS6EN2CT7,0.2318400000,US East (Ohio),General purpose,4,m7a.xlarge,16 GiB,EBS only,Up to 12500 Megabit,Linux,General Purpose,Linux,NA,No License required
GSMN37GEEUV2CC27.JRTCKXETXF.6YS6EN2CT7,0.8000000000,US East (Ohio),General purpose,16,m4.4xlarge,64 GiB,EBS only,High,Linux,General Purpose,Linux,NA,No License required
9MXQF8NSPZESJJUW.JRTCKXETXF.6YS6EN2CT7,6.6690000000,US East (Ohio),Memory optimized,64,x1.16xlarge,976 GiB,1 x 1920 SSD,High,Linux,Memory Optimized,Linux,NA,No License required
GPT6TX866NWYVV4F.JRTCKXETXF.6YS6EN2CT7,0.5292000000,US East (Ohio),Memory optimized,8,r7i.2xlarge,64 GiB,EBS only,Up to 12500 Megabit,Linux,Memory Optimized,Linux,NA,No License required
EE9WDWPYWXY84HCQ.JRTCKXETXF.6YS6EN2CT7,0.2520000000,US East (Ohio),Memory optimized,4,r6i.xlarge,32 GiB,EBS only,Up to 12500 Megabit,Linux,Memory Optimized,Linux,NA,No License required
E87EXYPFQTKVGJD5.JRTCKXETXF.6YS6EN2CT7,0.3264000000,US East (Ohio),General purpose,8,m7g.2xlarge,32 GiB,EBS only,Up to 15 Gigabit,Linux,General Purpose,Linux,NA,No License required
ACB3JX6MEYSJ8Z4D.JRTCKXETXF.6YS6EN2CT7,1.4880000000,US East (Ohio),Memory optimized,16,r7iz.4xlarge,128 GiB,EBS only,Up to 12500 Megabit,Linux,Memory Optimized,Linux,NA,No License required
ACX2UGE8DKREMJ2M.JRTCKXETXF.6YS6EN2CT7,2.1696000000,US East (Ohio),General purpose,48,m6gd.12xlarge,192 GiB,2 x 1425 NVMe SSD,20 Gigabit,Linux,General Purpose,Linux,NA,No License required
E9R6RMUH4FPR7URB.JRTCKXETXF.6YS6EN2CT7,0.1664000000,US East (Ohio),General purpose,4,t3.xlarge,16 GiB,EBS only,Up to 5 Gigabit,Linux,General Purpose,Linux,NA,No License required
EYNM7AQXUPNAR3A4.JRTCKXETXF.6YS6EN2CT7,81.9000000000,US East (Ohio),Memory optimized,448,u-9tb1.112xlarge,9216 GiB,EBS only,100 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
CMV8WJ4HSUKCNCVK.JRTCKXETXF.6YS6EN2CT7,3.4171000000,US East (Ohio),General purpose,64,m7gd.16xlarge,256 GiB,2 x 1900 NVMe SSD,30 Gigabit,Linux,General Purpose,Linux,NA,No License required
AZDPP3QWR6Y6VCFA.JRTCKXETXF.6YS6EN2CT7,0.1920000000,US East (Ohio),General purpose,4,m6i.xlarge,16 GiB,EBS only,Up to 12500 Megabit,Linux,General Purpose,Linux,NA,No License required
BV6TPVBSD57P5A6W.JRTCKXETXF.6YS6EN2CT7,3.7094400000,US East (Ohio),General purpose,64,m7a.16xlarge,256 GiB,EBS only,25000 Megabit,Linux,General Purpose,Linux,NA,No License required
G8STD8TMZJJZZ82A.JRTCKXETXF.6YS6EN2CT7,8.2944000000,US East (Ohio),General purpose,192,m6a.metal,768 GiB,EBS only,50000 Megabit,Linux,General Purpose,Linux,NA,No License required
G9EBCYNDEQUNTW58.JRTCKXETXF.6YS6EN2CT7,0.0340000000,US East (Ohio),Compute optimized,1,c6g.medium,2 GiB,EBS only,Up to 10 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
A7XYYCYRJ9W2AKRP.JRTCKXETXF.6YS6EN2CT7,0.2784600000,US East (Ohio),General purpose,4,m6in.xlarge,16 GiB,EBS only,Up to 30000 Megabit,Linux,General Purpose,Linux,NA,No License required
GEWCPHBEYM28HQCV.JRTCKXETXF.6YS6EN2CT7,0.3182400000,US East (Ohio),General purpose,4,m6idn.xlarge,16 GiB,1 x 237 NVMe SSD,Up to 30000 Megabit,Linux,General Purpose,Linux,NA,No License required
GCU6QSAVBZV2FF4Y.JRTCKXETXF.6YS6EN2CT7,0.1632000000,US East (Ohio),General purpose,4,m7g.xlarge,16 GiB,EBS only,Up to 12500 Megabit,Linux,General Purpose,Linux,NA,No License required
9WM545YS6JZHQA5S.JRTCKXETXF.6YS6EN2CT7,4.2336000000,US East (Ohio),Memory optimized,64,r7i.16xlarge,512 GiB,EBS only,25000 Megabit,Linux,Memory Optimized,Linux,NA,No License required
9R4KEPV5ZG232WSQ.JRTCKXETXF.6YS6EN2CT7,4.4640000000,US East (Ohio),Memory optimized,48,r7iz.12xlarge,384 GiB,EBS only,25000 Megabit,Linux,Memory Optimized,Linux,NA,No License required
9S3T4ZTHVT95Y4SR.JRTCKXETXF.6YS6EN2CT7,3.9936000000,US East (Ohio),Compute optimized,64,c7gn.16xlarge,128 GiB,EBS only,200 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
9SMG4FW2BBFHRTVA.JRTCKXETXF.6YS6EN2CT7,0.0892500000,US East (Ohio),Compute optimized,2,c7i.large,4 GiB,EBS only,Up to 12500 Megabit,Linux,Compute Optimized,Linux,NA,No License required
9MH3R7NV3X9U6W5T.JRTCKXETXF.6YS6EN2CT7,0.3456000000,US East (Ohio),General purpose,8,m6a.2xlarge,32 GiB,EBS only,Up to 12500 Megabit,Linux,General Purpose,Linux,NA,No License required
9T4VESUT526VH7DV.JRTCKXETXF.6YS6EN2CT7,1.2320000000,US East (Ohio),Compute optimized,32,c5a.8xlarge,64 GiB,EBS only,10 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
FDEGDT8QVVNMZ4MQ.JRTCKXETXF.6YS6EN2CT7,3.5760000000,US East (Ohio),Memory optimized,48,r5n.12xlarge,384 GiB,EBS only,50 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
2F59VHMSSWJCFBS3.JRTCKXETXF.6YS6EN2CT7,0.1490000000,US East (Ohio),Memory optimized,2,r5b.large,16 GiB,EBS only,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
2FM4GT846DH9SRXM.JRTCKXETXF.6YS6EN2CT7,21.5000000000,US East (Ohio),Machine Learning ASIC Instances,128,trn1.32xlarge,512 GiB,4 x 1900 NVMe SSD,800 Gigabit,Linux,Accelerated Computing,Linux,NA,No License required
2FPJ95T3QM6CBR75.JRTCKXETXF.6YS6EN2CT7,5.4432000000,US East (Ohio),Compute optimized,96,c6in.24xlarge,192 GiB,EBS only,150000 Megabit,Linux,Compute Optimized,Linux,NA,No License required
2JJMSP67YDHP8KA7.JRTCKXETXF.6YS6EN2CT7,9.7376000000,US East (Ohio),Memory optimized,128,r7a.32xlarge,1024 GiB,EBS only,50000 Megabit,Linux,Memory Optimized,Linux,NA,No License required
2C893VKRW4MATYBC.JRTCKXETXF.6YS6EN2CT7,5.5296000000,US East (Ohio),General purpose,128,m6a.32xlarge,512 GiB,EBS only,50000 Megabit,Linux,General Purpose,Linux,NA,No License required
2TNATRQBKEWEGQQH.JRTCKXETXF.6YS6EN2CT7,0.7815600000,US East (Ohio),Memory optimized,8,r6idn.2xlarge,64 GiB,1 x 474 NVMe SSD,Up to 40000 Megabit,Linux,Memory Optimized,Linux,NA,No License required
2UHXTYN3FDY8A4SD.JRTCKXETXF.6YS6EN2CT7,0.6160000000,US East (Ohio),Compute optimized,16,c5a.4xlarge,32 GiB,EBS only,Up to 10 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
355AC2A3BDEW2YEW.JRTCKXETXF.6YS6EN2CT7,1.3056000000,US East (Ohio),General purpose,32,m7g.8xlarge,128 GiB,EBS only,15 Gigabit,Linux,General Purpose,Linux,NA,No License required
35BHRDHRYRX7G3BH.JRTCKXETXF.6YS6EN2CT7,2.1168000000,US East (Ohio),Memory optimized,32,r7i.8xlarge,256 GiB,EBS only,12500 Megabit,Linux,Memory Optimized,Linux,NA,No License required
32APMGQCTPKHEJ8Y.JRTCKXETXF.6YS6EN2CT7,5.3440000000,US East (Ohio),Memory optimized,64,x2gd.metal,1024 GiB,2 x 1900 SSD,25 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
2PAE8XWKR2MA9MG4.JRTCKXETXF.6YS6EN2CT7,0.0960000000,US East (Ohio),Compute optimized,2,c5d.large,4 GiB,1 x 50 NVMe SSD,Up to 10 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
2N2QH6UEJZ5GUPT8.JRTCKXETXF.6YS6EN2CT7,0.0464000000,US East (Ohio),General purpose,2,t2.medium,4 GiB,EBS only,Low to Moderate,Linux,General Purpose,Linux,NA,No License required
2MMQWZDR49HPPVAF.JRTCKXETXF.6YS6EN2CT7,0.7680000000,US East (Ohio),General purpose,16,m6i.4xlarge,64 GiB,EBS only,Up to 12500 Megabit,Linux,General Purpose,Linux,NA,No License required
24VNPYX565QU9U4D.JRTCKXETXF.6YS6EN2CT7,7.2000000000,US East (Ohio),GPU instance,32,p2.8xlarge,488 GiB,EBS only,10 Gigabit,Linux,Accelerated Computing,Linux,NA,No License required
2C6AESDTKVKNQWFW.JRTCKXETXF.6YS6EN2CT7,0.3785300000,US East (Ohio),GPU instance,4,g4ad.xlarge,16 GiB,150 GB NVMe SSD,Up to 10 Gigabit,Linux,Accelerated Computing,Linux,NA,No License required
3Q3KMU6V2WXDU3Z6.JRTCKXETXF.6YS6EN2CT7,0.6120000000,US East (Ohio),Compute optimized,16,c6a.4xlarge,32 GiB,EBS only,Up to 12500 Megabit,Linux,Compute Optimized,Linux,NA,No License required
3VQ6EDX9Q2B74SGM.JRTCKXETXF.6YS6EN2CT7,1.3946400000,US East (Ohio),Memory optimized,16,r6in.4xlarge,128 GiB,EBS only,Up to 50000 Megabit,Linux,Memory Optimized,Linux,NA,No License required
3SUD9CQMZ2J22XTV.JRTCKXETXF.6YS6EN2CT7,2.7892800000,US East (Ohio),Memory optimized,32,r6in.8xlarge,256 GiB,EBS only,50000 Megabit,Linux,Memory Optimized,Linux,NA,No License required
4FMC7EABJDACX47D.JRTCKXETXF.6YS6EN2CT7,1.6672500000,US East (Ohio),Memory optimized,8,x2iedn.2xlarge,256 GiB,1 x 237 NVMe SSD,Up to 25 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
4EJ2SA69BF62X3X5.JRTCKXETXF.6YS6EN2CT7,0.6680000000,US East (Ohio),Memory optimized,8,r5dn.2xlarge,64 GiB,1 x 300 NVMe SSD,Up to 25 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
3ESXTARACC6BZH27.JRTCKXETXF.6YS6EN2CT7,0.1260000000,US East (Ohio),Memory optimized,2,r6i.large,16 GiB,EBS only,Up to 12500 Megabit,Linux,Memory Optimized,Linux,NA,No License required
37YYE7FKU8SXD6SZ.JRTCKXETXF.6YS6EN2CT7,0.0960000000,US East (Ohio),General purpose,2,m6i.large,8 GiB,EBS only,Up to 12500 Megabit,Linux,General Purpose,Linux,NA,No License required
45G5T4M6DUGP8RE7.JRTCKXETXF.6YS6EN2CT7,0.1652000000,US East (Ohio),General purpose,2,m5zn.large,8 GiB,EBS only,Up to 25 Gigabit,Linux,General Purpose,Linux,NA,No License required
4A8UM8ATMSAW5KDP.JRTCKXETXF.6YS6EN2CT7,4.0800000000,US East (Ohio),Compute optimized,96,c6i.24xlarge,192 GiB,EBS only,37500 Megabit,Linux,Compute Optimized,Linux,NA,No License required
4BQGQP33VA3MWXWK.JRTCKXETXF.6YS6EN2CT7,0.7440000000,US East (Ohio),Memory optimized,8,r7iz.2xlarge,64 GiB,EBS only,Up to 12500 Megabit,Linux,Memory Optimized,Linux,NA,No License required
4BG6FZ9A5NM8836C.JRTCKXETXF.6YS6EN2CT7,0.3340000000,US East (Ohio),Memory optimized,4,r5dn.xlarge,32 GiB,1 x 150 NVMe SSD,Up to 25 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
4A3MNQDTV5KMV3RM.JRTCKXETXF.6YS6EN2CT7,0.6177600000,US East (Ohio),Storage optimized,8,i4g.2xlarge,64 GiB,1 x 1875 SSD,Up to 12 Gigabit,Linux,Storage Optimized,Linux,NA,No License required
4BRUNECYPD9UAZA6.JRTCKXETXF.6YS6EN2CT7,0.3303000000,US East (Ohio),General purpose,4,m5zn.xlarge,16 GiB,EBS only,Up to 25 Gigabit,Linux,General Purpose,Linux,NA,No License required
45HT3AD2SJBAFJGZ.JRTCKXETXF.6YS6EN2CT7,6.3504000000,US East (Ohio),Memory optimized,96,r7i.metal-24xl,768 GiB,EBS only,37500 Megabit,Linux,Memory Optimized,Linux,NA,No License required
49HTVZD5D4J22XE8.JRTCKXETXF.6YS6EN2CT7,24.7800000000,US East (Ohio),Machine Learning ASIC Instances,128,trn1n.32xlarge,512 GiB,4 x 1900 NVMe SSD,1600 Gigabit,Linux,Accelerated Computing,Linux,NA,No License required
495PTJUX3QUEQ3P5.JRTCKXETXF.6YS6EN2CT7,0.8240000000,US East (Ohio),General purpose,16,m5ad.4xlarge,64 GiB,2 x 300 NVMe SSD,Up to 10 Gigabit,Linux,General Purpose,Linux,NA,No License required
4E7EDUZD2S93FX73.JRTCKXETXF.6YS6EN2CT7,1.5300000000,US East (Ohio),Compute optimized,36,c5.9xlarge,72 GiB,EBS only,10 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
4G6M3GP6XFSV6XKF.JRTCKXETXF.6YS6EN2CT7,5.4432000000,US East (Ohio),Memory optimized,96,r6a.24xlarge,768 GiB,EBS only,37500 Megabit,Linux,Memory Optimized,Linux,NA,No License required
3XXU2UHMQUGZ2H7C.JRTCKXETXF.6YS6EN2CT7,2.0400000000,US East (Ohio),Compute optimized,48,c5.12xlarge,96 GiB,EBS only,12 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
3YNRUJVA7RYEWVN5.JRTCKXETXF.6YS6EN2CT7,0.6800000000,US East (Ohio),Compute optimized,16,c5.4xlarge,32 GiB,EBS only,Up to 10 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
494A792X6RNVVUKT.JRTCKXETXF.6YS6EN2CT7,0.5781000000,US East (Ohio),Compute optimized,16,c7g.4xlarge,32 GiB,EBS only,Up to 15 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
2A6XPQM2VJYGY7JF.JRTCKXETXF.6YS6EN2CT7,1.8144000000,US East (Ohio),Compute optimized,32,c6in.8xlarge,64 GiB,EBS only,50000 Megabit,Linux,Compute Optimized,Linux,NA,No License required
27YFAZJQ2PH4DQUV.JRTCKXETXF.6YS6EN2CT7,5.7120000000,US East (Ohio),General purpose,96,m5n.24xlarge,384 GiB,EBS only,100 Gigabit,Linux,General Purpose,Linux,NA,No License required
2H6WXE9JSKW3YD5Z.JRTCKXETXF.6YS6EN2CT7,3.9936000000,US East (Ohio),Compute optimized,64,c7gn.metal,128 GiB,EBS only,200 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
2HYDNS63MB57D39W.JRTCKXETXF.6YS6EN2CT7,1.6320000000,US East (Ohio),Compute optimized,48,c6g.12xlarge,96 GiB,EBS only,20 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
2G94NDU48M96HTVW.JRTCKXETXF.6YS6EN2CT7,1.8360000000,US East (Ohio),Compute optimized,48,c6a.12xlarge,96 GiB,EBS only,18750 Megabit,Linux,Compute Optimized,Linux,NA,No License required
3BAJHHA82QHE6BER.JRTCKXETXF.6YS6EN2CT7,0.1008000000,US East (Ohio),Compute optimized,2,c6id.large,4 GiB,1 x 118 NVMe SSD,Up to 12500 Megabit,Linux,Compute Optimized,Linux,NA,No License required
34ZGXCGKG242DRBJ.JRTCKXETXF.6YS6EN2CT7,0.2722000000,US East (Ohio),Memory optimized,4,r7gd.xlarge,32 GiB,1 x 237 NVMe SSD,Up to 12500 Megabit,Linux,Memory Optimized,Linux,NA,No License required
2VD58FF95MGYCHHV.JRTCKXETXF.6YS6EN2CT7,0.1953900000,US East (Ohio),Memory optimized,2,r6idn.large,16 GiB,1 x 118 NVMe SSD,Up to 25000 Megabit,Linux,Memory Optimized,Linux,NA,No License required
