rateCode,price,Location,Instance Family,vCPU,Instance Type,Memory,Storage,Network Performance,plc:OperatingSystem,plc:InstanceFamily,Operating System,Pre Installed S/W,License Model
2Z2MRBEF9NQWUCQY.JRTCKXETXF.6YS6EN2CT7,4.4640000000,US East (Ohio),Memory optimized,48,z1d.metal,384 GiB,2 x 900 NVMe SSD,25 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
4UGCNA8KMAFPS927.JRTCKXETXF.6YS6EN2CT7,0.7258000000,US East (Ohio),Compute optimized,16,c7gd.4xlarge,32 GiB,1 x 950 NVMe SSD,Up to 15 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
5NKF852YZJ3EK9C7.JRTCKXETXF.6YS6EN2CT7,26.6760000000,US East (Ohio),Memory optimized,128,x2iedn.32xlarge,4096 GiB,2 x 1900 NVMe SSD,100 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
8X9DA4C59QCWQD3U.JRTCKXETXF.6YS6EN2CT7,0.0534000000,US East (Ohio),General purpose,1,m7gd.medium,4 GiB,1 x 59 NVMe SSD,Up to 12500 Megabit,Linux,General Purpose,Linux,NA,No License required
8UYD3VJ5TQ6PEW5V.JRTCKXETXF.6YS6EN2CT7,0.4536000000,US East (Ohio),Compute optimized,8,c6in.2xlarge,16 GiB,EBS only,Up to 40000 Megabit,Linux,Compute Optimized,Linux,NA,No License required
8WR3PS8YW9JAEXBE.JRTCKXETXF.6YS6EN2CT7,0.1536000000,US East (Ohio),Compute optimized,4,c6gd.xlarge,8 GiB,1 x 237 NVMe SSD,Up to 10 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
8WKT5SMNY9XNW5R2.JRTCKXETXF.6YS6EN2CT7,3.4171000000,US East (Ohio),General purpose,64,m7gd.metal,256 GiB,2 x 1900 NVMe SSD,30 Gigabit,Linux,General Purpose,Linux,NA,No License required
5892A64F599FA7UY.JRTCKXETXF.6YS6EN2CT7,0.3840000000,US East (Ohio),Compute optimized,8,c5d.2xlarge,16 GiB,1 x 200 NVMe SSD,Up to 10 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
5A5YDJFWMTFCUV2N.JRTCKXETXF.6YS6EN2CT7,3.2256000000,US East (Ohio),Memory optimized,64,r6g.16xlarge,512 GiB,EBS only,25 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
5CM3BE6S9BSDRFYM.JRTCKXETXF.6YS6EN2CT7,4.6080000000,US East (Ohio),General purpose,96,m6i.24xlarge,384 GiB,EBS only,37500 Megabit,Linux,General Purpose,Linux,NA,No License required
7H46SMEEZM838TGW.JRTCKXETXF.6YS6EN2CT7,3.6516000000,US East (Ohio),Memory optimized,48,r7a.12xlarge,384 GiB,EBS only,18750 Megabit,Linux,Memory Optimized,Linux,NA,No License required
7BJ64EYJRHNC4MM9.JRTCKXETXF.6YS6EN2CT7,3.4272000000,US East (Ohio),Memory optimized,64,r7g.16xlarge,512 GiB,EBS only,30 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
4QSHENQKE5VDAGGR.JRTCKXETXF.6YS6EN2CT7,3.7440000000,US East (Ohio),Storage optimized,64,h1.16xlarge,256 GiB,8 x 2000 HDD,25 Gigabit,Linux,Storage Optimized,Linux,NA,No License required
7YUN4R6V83YNDAP3.JRTCKXETXF.6YS6EN2CT7,0.9273600000,US East (Ohio),General purpose,16,m7a.4xlarge,64 GiB,EBS only,Up to 12500 Megabit,Linux,General Purpose,Linux,NA,No License required
4MHVDXDPKESJ8D5F.JRTCKXETXF.6YS6EN2CT7,3.8880000000,US East (Ohio),Compute optimized,72,c5n.metal,192 GiB,EBS only,100 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
846JB6PZ7D4HVUW6.JRTCKXETXF.6YS6EN2CT7,2.4576000000,US East (Ohio),Compute optimized,64,c6gd.metal,128 GiB,2 x 1900 NVMe SSD,25 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
8476NEEEXV7W9W5Q.JRTCKXETXF.6YS6EN2CT7,3.0240000000,US East (Ohio),Memory optimized,48,r5.12xlarge,384 GiB,EBS only,10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
4YQUFBTAEHTVGAP7.JRTCKXETXF.6YS6EN2CT7,0.0408000000,US East (Ohio),General purpose,1,m7g.medium,4 GiB,EBS only,Up to 12500 Megabit,Linux,General Purpose,Linux,NA,No License required
4YHB8A4RWJM6VBZP.JRTCKXETXF.6YS6EN2CT7,0.4520000000,US East (Ohio),General purpose,8,m5d.2xlarge,32 GiB,1 x 300 NVMe SSD,Up to 10 Gigabit,Linux,General Purpose,Linux,NA,No License required
7YKVUXW97ZEBU7ZT.JRTCKXETXF.6YS6EN2CT7,0.1445000000,US East (Ohio),Compute optimized,4,c7g.xlarge,8 GiB,EBS only,Up to 12500 Megabit,Linux,Compute Optimized,Linux,NA,No License required
53WMMPRTNPV95435.JRTCKXETXF.6YS6EN2CT7,5.4910000000,US East (Ohio),Storage optimized,64,i4i.16xlarge,512 GiB,4 x 3750 NVMe SSD,35000 Megabit,Linux,Storage Optimized,Linux,NA,No License required
54K37YY9PB25TWMC.JRTCKXETXF.6YS6EN2CT7,1.2729600000,US East (Ohio),General purpose,16,m6idn.4xlarge,64 GiB,1 x 950 NVMe SSD,Up to 50000 Megabit,Linux,General Purpose,Linux,NA,No License required
6BKQGE374ZZN28NG.JRTCKXETXF.6YS6EN2CT7,1.2120000000,US East (Ohio),GPU instance,8,g5.2xlarge,32 GiB,1 x 450 GB NVMe SSD,Up to 10 Gigabit,Linux,Accelerated Computing,Linux,NA,No License required
9F7GGKJQGM6J387N.JRTCKXETXF.6YS6EN2CT7,0.1000000000,US East (Ohio),Compute optimized,2,c4.large,3.75 GiB,EBS only,Moderate,Linux,Compute Optimized,Linux,NA,No License required
9F2Q74QEE8HZE6A8.JRTCKXETXF.6YS6EN2CT7,0.2660000000,US East (Ohio),Memory optimized,4,r4.xlarge,30.5 GiB,EBS only,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
4J5KP7A9TKBM6AD9.JRTCKXETXF.6YS6EN2CT7,0.5763000000,US East (Ohio),Storage optimized,4,is4gen.xlarge,24 GiB,1 x 3750 SSD,Up to 25 Gigabit,Linux,Storage Optimized,Linux,NA,No License required
8XXNNMMWDCXUC6Y6.JRTCKXETXF.6YS6EN2CT7,1.1526000000,US East (Ohio),Storage optimized,8,is4gen.2xlarge,48 GiB,1 x 7500 SSD,Up to 25 Gigabit,Linux,Storage Optimized,Linux,NA,No License required
93HAYG7AFZGMJKJY.JRTCKXETXF.6YS6EN2CT7,3.2000000000,US East (Ohio),General purpose,64,m4.16xlarge,256 GiB,EBS only,20 Gigabit,Linux,General Purpose,Linux,NA,No License required
6Z9XXNT333FD3QDC.JRTCKXETXF.6YS6EN2CT7,1.5360000000,US East (Ohio),General purpose,32,m6i.8xlarge,128 GiB,EBS only,12500 Megabit,Linux,General Purpose,Linux,NA,No License required
7M68E48TNYWRACE7.JRTCKXETXF.6YS6EN2CT7,4.7210000000,US East (Ohio),Machine Learning ASIC Instances,96,inf1.24xlarge,192 GiB,EBS only,100 Gigabit,Linux,Accelerated Computing,Linux,NA,No License required
5V2EGZS4TZQY7TW5.JRTCKXETXF.6YS6EN2CT7,5.4400000000,US East (Ohio),Compute optimized,128,c6i.metal,256 GiB,EBS only,50000 Megabit,Linux,Compute Optimized,Linux,NA,No License required
7J4E3V54P4EYVX4D.JRTCKXETXF.6YS6EN2CT7,6.9120000000,US East (Ohio),Memory optimized,96,r5d.metal,768 GiB,4 x 900 NVMe SSD,25 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
AHRWUFJ3AJQ6MADP.JRTCKXETXF.6YS6EN2CT7,0.7500000000,US East (Ohio),GPU instance,4,g3s.xlarge,30.5 GiB,EBS only,10 Gigabit,Linux,Accelerated Computing,Linux,NA,No License required
CW5K8WDXPZA79ZFW.JRTCKXETXF.6YS6EN2CT7,0.6364800000,US East (Ohio),General purpose,8,m6idn.2xlarge,32 GiB,1 x 474 NVMe SSD,Up to 40000 Megabit,Linux,General Purpose,Linux,NA,No License required
CYYV3XADFYTHU7DY.JRTCKXETXF.6YS6EN2CT7,2.5459200000,US East (Ohio),General purpose,32,m6idn.8xlarge,128 GiB,1 x 1900 NVMe SSD,50000 Megabit,Linux,General Purpose,Linux,NA,No License required
ATZSNY3GAKQTD4XJ.JRTCKXETXF.6YS6EN2CT7,0.2620000000,US East (Ohio),Memory optimized,4,r5ad.xlarge,32 GiB,1 x 150 NVMe SSD,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
FSZC3TSJBXWHNWXF.JRTCKXETXF.6YS6EN2CT7,0.6880000000,US East (Ohio),General purpose,16,m5a.4xlarge,64 GiB,EBS only,Up to 10 Gigabit,Linux,General Purpose,Linux,NA,No License required
FRPFF6N4YCNSUEDF.JRTCKXETXF.6YS6EN2CT7,3.0720000000,US East (Ohio),General purpose,64,m6i.16xlarge,256 GiB,EBS only,25000 Megabit,Linux,General Purpose,Linux,NA,No License required
FECHAGGPF8G7ZYDM.JRTCKXETXF.6YS6EN2CT7,2.7648000000,US East (Ohio),General purpose,64,m6a.16xlarge,256 GiB,EBS only,25000 Megabit,Linux,General Purpose,Linux,NA,No License required
DHQHUWC9P2GVYKX6.JRTCKXETXF.6YS6EN2CT7,0.0907000000,US East (Ohio),Compute optimized,2,c7gd.large,4 GiB,1 x 118 NVMe SSD,Up to 12500 Megabit,Linux,Compute Optimized,Linux,NA,No License required
GRC4TBHYC934KSEJ.JRTCKXETXF.6YS6EN2CT7,0.1440800000,US East (Ohio),Storage optimized,1,is4gen.medium,6 GiB,1 x 937 SSD,Up to 25 Gigabit,Linux,Storage Optimized,Linux,NA,No License required
9NRR8BUG6FJJ5CKP.JRTCKXETXF.6YS6EN2CT7,4.7680000000,US East (Ohio),Memory optimized,64,r5b.16xlarge,512 GiB,EBS only,20 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
9NH9ZG6PWHXHN8CE.JRTCKXETXF.6YS6EN2CT7,3.4680000000,US East (Ohio),GPU instance,64,g4ad.16xlarge,256 GiB,2400 GB NVMe SSD,25 Gigabit,Linux,Accelerated Computing,Linux,NA,No License required
A47K9BJ2U8W6QYUE.JRTCKXETXF.6YS6EN2CT7,8.0640000000,US East (Ohio),Memory optimized,128,r6i.32xlarge,1024 GiB,EBS only,50000 Megabit,Linux,Memory Optimized,Linux,NA,No License required
GPPGEAEF49ATEFKK.JRTCKXETXF.6YS6EN2CT7,1.1562000000,US East (Ohio),Compute optimized,32,c7g.8xlarge,64 GiB,EBS only,15 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
AC8QGG57BKPB5MKY.JRTCKXETXF.6YS6EN2CT7,1.9820000000,US East (Ohio),General purpose,24,m5zn.6xlarge,96 GiB,EBS only,50 Gigabit,Linux,General Purpose,Linux,NA,No License required
EC2PAVJCS6AVJP5H.JRTCKXETXF.6YS6EN2CT7,0.2720000000,US East (Ohio),Compute optimized,8,c6g.2xlarge,16 GiB,EBS only,Up to 10 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
EX6UG3MX4WVN4V4Z.JRTCKXETXF.6YS6EN2CT7,0.0576000000,US East (Ohio),Memory optimized,1,r6gd.medium,8 GiB,1 x 59 NVMe SSD,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
EZR4NNU4465PNGD8.JRTCKXETXF.6YS6EN2CT7,0.4746000000,US East (Ohio),General purpose,8,m6id.2xlarge,32 GiB,1 x 474 NVMe SSD,Up to 12500 Megabit,Linux,General Purpose,Linux,NA,No License required
ERCJ3ARP9BEHJGHB.JRTCKXETXF.6YS6EN2CT7,0.3486600000,US East (Ohio),Memory optimized,4,r6in.xlarge,32 GiB,EBS only,Up to 30000 Megabit,Linux,Memory Optimized,Linux,NA,No License required
ESF2RXRC4EQCP8UY.JRTCKXETXF.6YS6EN2CT7,0.1361000000,US East (Ohio),Memory optimized,2,r7gd.large,16 GiB,1 x 118 NVMe SSD,Up to 12500 Megabit,Linux,Memory Optimized,Linux,NA,No License required
DRM894W87RNVKC9C.JRTCKXETXF.6YS6EN2CT7,2.6720000000,US East (Ohio),Memory optimized,32,x2gd.8xlarge,512 GiB,1 x 1900 SSD,12 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
DRUR73KJWREKJ337.JRTCKXETXF.6YS6EN2CT7,5.5785600000,US East (Ohio),Memory optimized,64,r6in.16xlarge,512 GiB,EBS only,100000 Megabit,Linux,Memory Optimized,Linux,NA,No License required
A7BR96XHUC3GZBDB.JRTCKXETXF.6YS6EN2CT7,2.0400000000,US East (Ohio),Compute optimized,48,c6i.12xlarge,96 GiB,EBS only,18750 Megabit,Linux,Compute Optimized,Linux,NA,No License required
9W9WUN8874RQJPYR.JRTCKXETXF.6YS6EN2CT7,0.0752000000,US East (Ohio),General purpose,2,t3a.large,8 GiB,EBS only,Up to 5 Gigabit,Linux,General Purpose,Linux,NA,No License required
E2RQJ4TEVFQ9GXT6.JRTCKXETXF.6YS6EN2CT7,6.3504000000,US East (Ohio),Memory optimized,96,r7i.24xlarge,768 GiB,EBS only,37500 Megabit,Linux,Memory Optimized,Linux,NA,No License required
GHPEXJBD35RFJG26.JRTCKXETXF.6YS6EN2CT7,8.3678400000,US East (Ohio),Memory optimized,96,r6in.24xlarge,768 GiB,EBS only,150000 Megabit,Linux,Memory Optimized,Linux,NA,No License required
9H2GQTY527HSSJFF.JRTCKXETXF.6YS6EN2CT7,1.3560000000,US East (Ohio),Storage optimized,12,i3en.3xlarge,96 GiB,1 x 7500 NVMe SSD,Up to 25 Gigabit,Linux,Storage Optimized,Linux,NA,No License required
BHWZ5SVSVVDDEC7Q.JRTCKXETXF.6YS6EN2CT7,0.0680000000,US East (Ohio),Compute optimized,2,c6g.large,4 GiB,EBS only,Up to 10 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
BN4FCW63KDU5A5XK.JRTCKXETXF.6YS6EN2CT7,0.2016000000,US East (Ohio),Compute optimized,4,c6id.xlarge,8 GiB,1 x 237 NVMe SSD,Up to 12500 Megabit,Linux,Compute Optimized,Linux,NA,No License required
BHGPK8M648H5GAQW.JRTCKXETXF.6YS6EN2CT7,2.1420000000,US East (Ohio),Compute optimized,48,c7i.12xlarge,96 GiB,EBS only,18750 Megabit,Linux,Compute Optimized,Linux,NA,No License required
BP4MG4P47R5ZJUG3.JRTCKXETXF.6YS6EN2CT7,4.0080000000,US East (Ohio),Memory optimized,48,x2gd.12xlarge,768 GiB,2 x 1425 SSD,20 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
BH4B5WNM6XUXN9QV.JRTCKXETXF.6YS6EN2CT7,11.1283200000,US East (Ohio),General purpose,192,m7a.metal-48xl,768 GiB,EBS only,50000 Megabit,Linux,General Purpose,Linux,NA,No License required
BP8MTRD66KW669AY.JRTCKXETXF.6YS6EN2CT7,0.5040000000,US East (Ohio),Memory optimized,8,r6i.2xlarge,64 GiB,EBS only,Up to 12500 Megabit,Linux,Memory Optimized,Linux,NA,No License required
64UZ59KRS55PP3WM.JRTCKXETXF.6YS6EN2CT7,0.2260000000,US East (Ohio),Memory optimized,4,r5a.xlarge,32 GiB,EBS only,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
5YQ29A5HWAURDWVT.JRTCKXETXF.6YS6EN2CT7,0.7440000000,US East (Ohio),Memory optimized,8,z1d.2xlarge,64 GiB,1 x 300 NVMe SSD,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
6VX264Q3CM5XJQSK.JRTCKXETXF.6YS6EN2CT7,0.7275800000,US East (Ohio),Storage optimized,8,im4gn.2xlarge,32 GiB,1 x 3750 SSD,Up to 25 Gigabit,Linux,Storage Optimized,Linux,NA,No License required
6XUWEGZUKHG3FEP3.JRTCKXETXF.6YS6EN2CT7,0.9072000000,US East (Ohio),Memory optimized,16,r6a.4xlarge,128 GiB,EBS only,Up to 12500 Megabit,Linux,Memory Optimized,Linux,NA,No License required
6JDGZJ56V6W9ET6A.JRTCKXETXF.6YS6EN2CT7,2.0160000000,US East (Ohio),Memory optimized,32,r6i.8xlarge,256 GiB,EBS only,12500 Megabit,Linux,Memory Optimized,Linux,NA,No License required
6K82GDF26GSK3BUW.JRTCKXETXF.6YS6EN2CT7,1.0584000000,US East (Ohio),Memory optimized,16,r7i.4xlarge,128 GiB,EBS only,Up to 12500 Megabit,Linux,Memory Optimized,Linux,NA,No License required
BFQV6KTUX7K3CP48.JRTCKXETXF.6YS6EN2CT7,10.1836800000,US East (Ohio),General purpose,128,m6idn.32xlarge,512 GiB,4 x 1900 NVMe SSD,200000 Megabit,Linux,General Purpose,Linux,NA,No License required
BERDMNGW94ZEU6QJ.JRTCKXETXF.6YS6EN2CT7,0.6528000000,US East (Ohio),General purpose,16,m7g.4xlarge,64 GiB,EBS only,Up to 15 Gigabit,Linux,General Purpose,Linux,NA,No License required
BKYGXBDX8TJV57PF.JRTCKXETXF.6YS6EN2CT7,0.2268000000,US East (Ohio),Compute optimized,4,c6in.xlarge,8 GiB,EBS only,Up to 30000 Megabit,Linux,Compute Optimized,Linux,NA,No License required
Y2SG8292X4XGQ53C.JRTCKXETXF.6YS6EN2CT7,1.6128000000,US East (Ohio),Compute optimized,32,c6id.8xlarge,64 GiB,1 x 1900 NVMe SSD,12500 Megabit,Linux,Compute Optimized,Linux,NA,No License required
Y3SUYSYH3DS2J5JK.JRTCKXETXF.6YS6EN2CT7,2.4720000000,US East (Ohio),General purpose,48,m5ad.12xlarge,192 GiB,2 x 900 NVMe SSD,10 Gigabit,Linux,General Purpose,Linux,NA,No License required
Y5AJYNC7MEUPH7AT.JRTCKXETXF.6YS6EN2CT7,6.2524800000,US East (Ohio),Memory optimized,64,r6idn.16xlarge,512 GiB,2 x 1900 NVMe SSD,100000 Megabit,Linux,Memory Optimized,Linux,NA,No License required
Y6WNUUFEJZ2F8Q3U.JRTCKXETXF.6YS6EN2CT7,3.6160000000,US East (Ohio),Memory optimized,64,r5a.16xlarge,512 GiB,EBS only,12 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
Y73QEJPSBYNQCFQA.JRTCKXETXF.6YS6EN2CT7,0.5760000000,US East (Ohio),Memory optimized,8,r5d.2xlarge,64 GiB,1 x 300 NVMe SSD,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
YCJNW3H5EAT9E3W2.JRTCKXETXF.6YS6EN2CT7,0.3043000000,US East (Ohio),Memory optimized,4,r7a.xlarge,32 GiB,EBS only,Up to 12500 Megabit,Linux,Memory Optimized,Linux,NA,No License required
YNYQ6X5V79PKWGEB.JRTCKXETXF.6YS6EN2CT7,1.0080000000,US East (Ohio),Memory optimized,16,r5.4xlarge,128 GiB,EBS only,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
YPWTWTN28G5CJN8S.JRTCKXETXF.6YS6EN2CT7,0.4608000000,US East (Ohio),Memory optimized,8,r6gd.2xlarge,64 GiB,1 x 475 NVMe SSD,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
YQ4YBPGFTJTMW8AW.JRTCKXETXF.6YS6EN2CT7,1.6680000000,US East (Ohio),Memory optimized,8,x1e.2xlarge,244 GiB,1 x 240 SSD,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
W3UG35SJHY4KRPFX.JRTCKXETXF.6YS6EN2CT7,4.0320000000,US East (Ohio),Memory optimized,64,r6i.16xlarge,512 GiB,EBS only,25000 Megabit,Linux,Memory Optimized,Linux,NA,No License required
W4ZRFQ4Q6W3P22C4.JRTCKXETXF.6YS6EN2CT7,4.2560000000,US East (Ohio),Memory optimized,64,r4.16xlarge,488 GiB,EBS only,20 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
W5Y7NX8E8HPN24S3.JRTCKXETXF.6YS6EN2CT7,0.1068000000,US East (Ohio),General purpose,2,m7gd.large,8 GiB,1 x 118 NVMe SSD,Up to 12500 Megabit,Linux,General Purpose,Linux,NA,No License required
W6CG3TUC9YBBCPMB.JRTCKXETXF.6YS6EN2CT7,26.6760000000,US East (Ohio),Memory optimized,128,x2iedn.metal,4096 GiB,2 x 1900 NVMe SSD,100 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
W8YRQ5GSW6TBHTCB.JRTCKXETXF.6YS6EN2CT7,0.1134000000,US East (Ohio),Compute optimized,2,c6in.large,4 GiB,EBS only,Up to 25000 Megabit,Linux,Compute Optimized,Linux,NA,No License required
WA4AUYC2JRQGFNQX.JRTCKXETXF.6YS6EN2CT7,0.1008000000,US East (Ohio),General purpose,2,m7i.large,8 GiB,EBS only,Up to 12500 Megabit,Linux,General Purpose,Linux,NA,No License required
WCJN2C3YYJ3WUC99.JRTCKXETXF.6YS6EN2CT7,1.8547200000,US East (Ohio),General purpose,32,m7a.8xlarge,128 GiB,EBS only,12500 Megabit,Linux,General Purpose,Linux,NA,No License required
WD7DZ22R4WVPGGVW.JRTCKXETXF.6YS6EN2CT7,3.0600000000,US East (Ohio),GPU instance,8,p3.2xlarge,61 GiB,EBS only,Up to 10 Gigabit,Linux,Accelerated Computing,Linux,NA,No License required
WE96ZP85B8UMGMAV.JRTCKXETXF.6YS6EN2CT7,13.3504000000,US East (Ohio),GPU instance,192,g6.48xlarge,768 GiB,8 x 940 NVMe SSD,100 Gigabit,Linux,Accelerated Computing,Linux,NA,No License required
WFSTU5Q6ZV5UQU9F.JRTCKXETXF.6YS6EN2CT7,0.0624000000,US East (Ohio),Compute optimized,1,c7gn.medium,2 GiB,EBS only,Up to 25 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
WGZ57G62MB4V8BAX.JRTCKXETXF.6YS6EN2CT7,6.0480000000,US East (Ohio),Memory optimized,96,r6i.24xlarge,768 GiB,EBS only,37500 Megabit,Linux,Memory Optimized,Linux,NA,No License required
WHT8TY3TK5ZXHD5E.JRTCKXETXF.6YS6EN2CT7,5.4400000000,US East (Ohio),Compute optimized,128,c6i.32xlarge,256 GiB,EBS only,50000 Megabit,Linux,Compute Optimized,Linux,NA,No License required
WM4RQEMF9SXRWEMX.JRTCKXETXF.6YS6EN2CT7,6.1440000000,US East (Ohio),General purpose,128,m6i.32xlarge,512 GiB,EBS only,50000 Megabit,Linux,General Purpose,Linux,NA,No License required
WMNX2DDVQXFEJM2X.JRTCKXETXF.6YS6EN2CT7,0.1728000000,US East (Ohio),General purpose,4,m6a.xlarge,16 GiB,EBS only,Up to 12500 Megabit,Linux,General Purpose,Linux,NA,No License required
WN977FJGFJ8J4XQ4.JRTCKXETXF.6YS6EN2CT7,2.8800000000,US East (Ohio),Compute optimized,96,hpc6a.48xlarge,384 GiB,EBS only,100 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
WNEREZ5HA9GZPFXY.JRTCKXETXF.6YS6EN2CT7,0.7140000000,US East (Ohio),Compute optimized,16,c7i.4xlarge,32 GiB,EBS only,Up to 12500 Megabit,Linux,Compute Optimized,Linux,NA,No License required
WTADZ55ETP6ZEN73.JRTCKXETXF.6YS6EN2CT7,4.9920000000,US East (Ohio),Storage optimized,64,i3.16xlarge,488 GiB,8 x 1900 NVMe SSD,20 Gigabit,Linux,Storage Optimized,Linux,NA,No License required
WTHRW5EZ8T22UFYZ.JRTCKXETXF.6YS6EN2CT7,0.0047000000,US East (Ohio),General purpose,2,t3a.nano,0.5 GiB,EBS only,Up to 5 Gigabit,Linux,General Purpose,Linux,NA,No License required
WTJN64XKP8U98SAY.JRTCKXETXF.6YS6EN2CT7,1.4515000000,US East (Ohio),Compute optimized,32,c7gd.8xlarge,64 GiB,1 x 1900 NVMe SSD,15 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
WTSXT357HUR7X527.JRTCKXETXF.6YS6EN2CT7,8.5680000000,US East (Ohio),Compute optimized,192,c7i.metal-48xl,384 GiB,EBS only,50000 Megabit,Linux,Compute Optimized,Linux,NA,No License required
WVKZPG8TTUFUW7DA.JRTCKXETXF.6YS6EN2CT7,1.8144000000,US East (Ohio),Memory optimized,32,r6a.8xlarge,256 GiB,EBS only,12500 Megabit,Linux,Memory Optimized,Linux,NA,No License required
WVXZUY6M42J6G8U5.JRTCKXETXF.6YS6EN2CT7,2.3840000000,US East (Ohio),Memory optimized,32,r5n.8xlarge,256 GiB,EBS only,25 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
WXTX9CDNRB93XCCA.JRTCKXETXF.6YS6EN2CT7,3.1440000000,US East (Ohio),Memory optimized,48,r5ad.12xlarge,384 GiB,2 x 900 NVMe SSD,10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
X2YKNUZQ3HQMQ9RS.JRTCKXETXF.6YS6EN2CT7,0.3616000000,US East (Ohio),General purpose,8,m6gd.2xlarge,32 GiB,1 x 475 NVMe SSD,Up to 10 Gigabit,Linux,General Purpose,Linux,NA,No License required
X3A6RZ2SXBTHS2X7.JRTCKXETXF.6YS6EN2CT7,2.8928000000,US East (Ohio),General purpose,64,m6gd.metal,256 GiB,2 x 1900 NVMe SSD,25 Gigabit,Linux,General Purpose,Linux,NA,No License required
X4YTEF3PVAPZB6SB.JRTCKXETXF.6YS6EN2CT7,3.9120000000,US East (Ohio),GPU instance,48,g4dn.12xlarge,192 GiB,900 GB NVMe SSD,50 Gigabit,Linux,Accelerated Computing,Linux,NA,No License required
YM4ZZ947QVJE9Y38.JRTCKXETXF.6YS6EN2CT7,2.8476000000,US East (Ohio),General purpose,48,m6id.12xlarge,192 GiB,2 x 1425 NVMe SSD,18750 Megabit,Linux,General Purpose,Linux,NA,No License required
YM2XN39USBQN9AZ5.JRTCKXETXF.6YS6EN2CT7,0.0168000000,US East (Ohio),General purpose,2,t4g.small,2 GiB,EBS only,Up to 5 Gigabit,Linux,General Purpose,Linux,NA,No License required
XYSECN3PWZ9HYPN2.JRTCKXETXF.6YS6EN2CT7,0.6680000000,US East (Ohio),Memory optimized,8,x2gd.2xlarge,128 GiB,1 x 474 SSD,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
XZRBC9MJZPZWHBW8.JRTCKXETXF.6YS6EN2CT7,0.3060000000,US East (Ohio),Compute optimized,8,c6a.2xlarge,16 GiB,EBS only,Up to 12500 Megabit,Linux,Compute Optimized,Linux,NA,No License required
X7XJX736FYQA5XZT.JRTCKXETXF.6YS6EN2CT7,4.2840000000,US East (Ohio),Compute optimized,96,c7i.metal-24xl,192 GiB,EBS only,37500 Megabit,Linux,Compute Optimized,Linux,NA,No License required
XBRVYNQEYQU6T3AV.JRTCKXETXF.6YS6EN2CT7,0.1310000000,US East (Ohio),Memory optimized,2,r5ad.large,16 GiB,1 x 75 NVMe SSD,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
XDHQKKJNEDKZ7R33.JRTCKXETXF.6YS6EN2CT7,7.4188800000,US East (Ohio),General purpose,128,m7a.32xlarge,512 GiB,EBS only,50000 Megabit,Linux,General Purpose,Linux,NA,No License required
XDKWHSADPWH92UUU.JRTCKXETXF.6YS6EN2CT7,9.6768000000,US East (Ohio),General purpose,192,m7i.48xlarge,768 GiB,EBS only,50000 Megabit,Linux,General Purpose,Linux,NA,No License required
XKNQ264P5N9AYCD2.JRTCKXETXF.6YS6EN2CT7,0.0188000000,US East (Ohio),General purpose,2,t3a.small,2 GiB,EBS only,Up to 5 Gigabit,Linux,General Purpose,Linux,NA,No License required
XMSBZH96MCMUW4M2.JRTCKXETXF.6YS6EN2CT7,0.1785000000,US East (Ohio),Compute optimized,4,c7i.xlarge,8 GiB,EBS only,Up to 12500 Megabit,Linux,Compute Optimized,Linux,NA,No License required
